ティッカー,詳細,現在値,変動率,変動,評価,出来高,時価総額,PER: 株価収益率 (直近12ヶ月),基本1株当たり利益 (直近12ヶ月),従業員数,セクター,EMA: 指数移動平均線 (20),EMA: 指数移動平均線 (200)
MNSO,MINISO Group Holding Limited,13.42,-4.95750708,-0.7,強い売り,969448,4304801880,,-0.6513,,小売業,14.06801049,21.81861256
JWN,"Nordstrom, Inc.",27.08,-4.61430081,-1.31,強い売り,6765071,4303011811.269271,,0.0013,62000,小売業,31.44991385,32.67438028
ICUI,"ICU Medical, Inc.",202.78,-0.49560822,-1.01,買い,113946,4300487215.38916,42.00046113,4.8983,7900,健康テクノロジー,197.61218148,201.14486462
RDN,Radian Group Inc.,23.17,-0.85579803,-0.2,売り,840448,4299367091.818377,8.07704256,2.917,1600,金融,23.3982744,21.88612306
R,"Ryder System, Inc.",79.7,-1.0306718,-0.83,買い,447347,4285755638.242524,16.20966582,4.9566,39000,金融,78.15493374,70.89767638
IBRX,"ImmunityBio, Inc.",10.95,-5.44041451,-0.63,売り,1060385,4283163679.6398306,,-0.9345,171,健康テクノロジー,11.12422379,14.62696071
SITM,SiTime Corporation,224.62,4.15951774,8.97,買い,107532,4281434045.1390343,,-0.0155,187,電子テクノロジー,198.91684161,121.99841514
UMPQ,Umpqua Holdings Corporation,19.44,0.10298661,0.02,中立,1112592,4279390147.14065,8.57786813,2.2669,3920,金融,19.51395462,17.5617202
EVCM,EverCommerce Inc.,21.9,-1.48448043,-0.33,買い,260290,4277876546.2823415,,-0.8506,1750,テクノロジーサービス,20.68511547,
JAMF,Jamf Holding Corp.,36.03,1.75091782,0.62,強い買い,306907,4275082393.2805696,,-0.2876,1496,テクノロジーサービス,34.1032371,34.05585288
RCII,Rent-A-Center Inc.,64.28,0.26516924,0.17,買い,244458,4272156520.365298,17.15466479,4.0332,14320,金融,62.52762254,52.49563676
DDS,"Dillard's, Inc.",201.8,2.57192233,5.06,買い,198458,4266540023.8189297,9.4719763,20.5237,29000,小売業,194.54203392,129.41111622
AUY,Yamana Gold Inc.,4.41,3.27868852,0.14,買い,17869649,4261973883.3577986,22.76908276,0.18969555,,非エネルギー鉱物,4.33819434,4.70047098
PNM,"PNM Resources, Inc. (Holding Co.)",49.64,0.10082678,0.05,買い,385284,4260843163.975,20.14540433,2.4632,1708,施設サービス事業,49.11256586,48.24797236
SGRY,"Surgery Partners, Inc.",51.57,-1.18796704,-0.62,中立,290257,4253420133.7675953,,-2.5227,10800,健康サービス,49.02068074,45.16841543
PDCE,"PDC Energy, Inc.",43.08,-0.94274546,-0.41,買い,528311,4250254896.570206,,-1.3442,520,エネルギー鉱物,40.55876966,34.91804657
ALRM,"Alarm.com Holdings, Inc.",85.14,-0.17587056,-0.15,買い,166139,4248740049.2539873,53.63184705,1.6556,1404,テクノロジーサービス,83.24113556,81.8235398
FUBO,fuboTV Inc.,29.97,0.80726539,0.24,買い,7411152,4245751448.144452,,-9.9395,220,テクノロジーサービス,27.97353497,25.86736042
CNS,Cohen & Steers Inc,87.94,-0.53161407,-0.47,買い,54438,4243070446.655631,34.55534814,2.5539,347,金融,86.92453146,74.84069377
CRNC,Cerence Inc.,111.53,-1.04693461,-1.18,買い,160933,4238864120.8623896,102.16074496,1.2164,1500,テクノロジーサービス,111.47066594,97.26347616
SWX,"Southwest Gas Holdings, Inc.",71.61,-0.43103448,-0.31,買い,360999,4231678524.7894306,15.57017544,4.6097,11149,施設サービス事業,70.76510383,68.29897248
AY,Atlantica Sustainable Infrastructure plc,38.16,-0.7800312,-0.3,売り,237576,4229395045.700737,113.41499851,0.338,456,施設サービス事業,38.33415606,36.56162451
ARVN,"Arvinas, Inc.",85.89,-0.80840744,-0.7,売り,211417,4225435666.8206,,-3.6555,179,健康テクノロジー,86.85597739,71.01601503
BIGC,"BigCommerce Holdings, Inc. - Series 1",59.25,-0.55387714,-0.33,売り,546279,4213271507.05778,,-0.6635,813,テクノロジーサービス,59.83571569,67.13023283
BTG,B2Gold Corp,3.99,3.90625,0.15,買い,10204623,4206684371.23614,6.58852266,0.59234434,6120,非エネルギー鉱物,3.87806349,4.66513205
MSP,Datto Holding Corp.,25.92,0.58207218,0.15,売り,160337,4206219208.563905,94.96138286,0.2766,1743,テクノロジーサービス,26.12729616,26.25885305
SSTK,"Shutterstock, Inc.",114.59,0.24494795,0.28,買い,182451,4196610563.5775,39.27770687,2.9598,967,テクノロジーサービス,110.06569945,88.53469633
WTFC,Wintrust Financial Corporation,73.49,0.9478022,0.69,売り,237195,4191918008.503002,9.72236968,7.6169,5364,金融,73.44678595,70.4588766
ATKR,Atkore Inc.,90.74,-1.73272688,-1.6,買い,200194,4183360443.9284687,10.01200956,9.2042,3700,製造加工,88.68462846,67.65149527
MXL,"MaxLinear, Inc.",54.7,0.90389227,0.49,買い,317761,4182883954.365231,,-0.7707,1420,電子テクノロジー,51.1650874,38.73764284
WISH,ContextLogic Inc.,7.24,-0.95759234,-0.07,売り,15531179,4177480064.7479672,,,,小売業,7.6604949,
KNSL,"Kinsale Capital Group, Inc.",182.79,-1.20527511,-2.23,買い,58777,4168634002.4435577,34.88980059,5.3401,335,金融,180.97548154,175.2200717
SPR,"Spirit Aerosystems Holdings, Inc.",39.53,-1.78881988,-0.72,売り,1426430,4167637356.316688,,-7.2887,14500,電子テクノロジー,40.5284707,42.17825374
NKLA,Nikola Corporation,10.46,-1.87617261,-0.2,売り,8625933,4165734990.0576215,,-1.3617,450,耐久消費財,10.4992034,16.03988449
UNF,Unifirst Corporation,229.03,-0.68944584,-1.59,買い,31619,4158570138.719183,29.35535703,8.1557,14000,消費者サービス,224.75298319,217.23596196
TEO,Telecom Argentina SA,5.13,-2.65654649,-0.14,強い売り,134328,4156259362.812201,,,23254,通信,5.35578675,5.93569407
FSR,Fisker Inc.,14.01,-0.98939929,-0.14,売り,5275057,4148349691.159329,,,123,耐久消費財,14.41401969,15.39124426
MGNI,"Magnite, Inc.",31.54,1.77476605,0.55,買い,2333823,4139648477.095507,307.2597137,0.1375,569,商業サービス,29.31730313,29.82764487
APAM,Artisan Partners Asset Management Inc.,52.19,-0.4957102,-0.26,買い,324984,4125202251.7180862,11.46786962,4.6244,453,金融,51.19532748,48.98467858
AXS,Axis Capital Holdings Limited,48.61,-1.43957826,-0.71,強い売り,582320,4120650364.215463,16.16281685,3.1358,1921,金融,51.43374806,50.8217834
LOPE,"Grand Canyon Education, Inc.",91.18,0.49597707,0.45,買い,195909,4120044557.247313,15.72479431,5.7652,4625,商業サービス,88.79014048,93.38562761
AMRS,"Amyris, Inc.",13.82,-7.86666667,-1.18,売り,4522269,4118030937.9878874,,-1.8407,595,素材産業,14.52793783,12.74552977
BRDG,Bridge Investment Group Holdings Inc.,18.7,-0.47897818,-0.09,中立,96801,4110613208.0357146,,,,金融,18.25866727,
MMSI,"Merit Medical Systems, Inc.",72.99,-0.32773454,-0.24,買い,148796,4107185634.930948,145.6969697,0.5068,5989,健康テクノロジー,69.66614067,60.18983557
PFSI,"PennyMac Financial Services, Inc.",66.08,-0.30175015,-0.2,買い,280333,4100650009.9088016,3.12963744,22.2473,6632,金融,66.02403478,60.17672072
ASO,"Academy Sports and Outdoors, Inc.",44.52,-0.08976661,-0.04,買い,1863587,4100288111.759784,8.26762868,5.4654,22000,小売業,40.68150156,29.47948692
MPLN,MultiPlan Corporation,6.13,-1.92,-0.12,売り,3957399,4095559619.0509553,,-0.3297,2000,テクノロジーサービス,6.36073238,7.82019029
LTHM,Livent Corporation,25.33,-1.24756335,-0.32,買い,1911202,4091851281.868184,,-0.0766,906,素材産業,24.11028748,18.45789635
MTH,Meritage Homes Corporation,108.65,-2.5210838,-2.81,中立,224959,4090330741.248574,7.796696,14.8886,1570,耐久消費財,109.74322025,97.07099628
EXLS,"ExlService Holdings, Inc.",123.26,-0.16199579,-0.2,買い,122963,4089102844.2968407,35.5290637,3.5017,31900,テクノロジーサービス,119.85235059,98.14521578
SNDR,"Schneider National, Inc.",22.94,-0.52038161,-0.12,買い,240454,4075387027.580969,14.40880503,1.5933,15225,交通,22.38719275,22.95766216
